,X_O2
0,0.06809999967784244
1,0.0680999977020851
2,0.06809999272921435
3,0.06809998096103581
4,0.06809994935542951
5,0.06809988597172825
6,0.06809976977624847
7,0.06809964469205369
8,0.06809945586307525
9,0.06809922964362326
10,0.0680989774618619
11,0.06809857702507968
12,0.06809816305089557
13,0.06809765061794107
14,0.06809699243165662
15,0.0680961816827284
16,0.06809514160449227
17,0.06809374193450705
18,0.06809163373148525
19,0.06808824023452703
20,0.06808392809045387
21,0.06808010456993037
22,0.0680779615553701
23,0.0680759831836747
24,0.06807167347476524
25,0.06806421754841925
26,0.06805312795865974
27,0.06804682338040617
28,0.06804375518123583
29,0.06803913078867058
30,0.06803004840565019
31,0.06802077674647979
32,0.06800892193437326
33,0.06799435571427873
34,0.06797947391584215
35,0.0679553617022915
36,0.06792961384624245
37,0.06790328987484202
38,0.06788463728292672
39,0.06786576044800212
40,0.06784101256319004
41,0.06778694906781545
42,0.06774773833669682
43,0.06773398066139012
44,0.0677293601472697
45,0.06772672526360042
46,0.0677194165285335
47,0.06766974824300129
48,0.06760529560126148
49,0.06754018619835132
50,0.06749844666103859
51,0.06747322557533626
52,0.06740349077171935
53,0.06724183351478813
54,0.06706981682084162
55,0.06702079884762417
56,0.06700585369512636
57,0.0669726211466633
58,0.06685410857488006
59,0.06663411007992329
60,0.06632924031748923
61,0.06612407045826171
62,0.06590656693449079
63,0.06566573758737182
64,0.06542788242359664
65,0.06529929015144975
66,0.0651239571637844
67,0.06483909014631213
68,0.06454984499094238
69,0.06430035477814106
70,0.06412638287887525
71,0.06387158119342598
72,0.0636684076254414
73,0.06353657769590781
74,0.06339881587388899
75,0.06325397436567147
76,0.06310063888163449
77,0.06285772633375929
78,0.06251959526649653
79,0.06217351539605925
80,0.06206284315252696
81,0.06197456729632647
82,0.061902240205482836
83,0.06182755650704281
84,0.0616173624404045
85,0.061338537930701986
86,0.061014461601937624
87,0.06075493613688146
88,0.06045906334228926
89,0.0601171147935417
90,0.05949777420144321
91,0.0589758953722724
92,0.05876982613496112
93,0.0586191773764848
94,0.05847590087848581
95,0.0583507538146455
96,0.058219270019925926
97,0.057833201665141463
98,0.05731308602354375
99,0.056710994976916236
100,0.05601045007075696
101,0.05519314431676383
102,0.054240723724504766
103,0.053138502649235135
104,0.05221706765461576
105,0.05142026738944668
106,0.05040093535902318
107,0.04953380420175535
108,0.04878165874549256
109,0.048019716140297285
110,0.04734982400991801
111,0.04656412158473139
112,0.045267314035527334
113,0.0442314339638513
114,0.044027985629845695
115,0.043984850942141024
116,0.043967911296409576
117,0.04392024390493615
118,0.04355378632431757
119,0.04282641315867302
120,0.0419386498613246
121,0.041322864297020895
122,0.04106599999874636
123,0.04055868451921932
124,0.0398092831591409
125,0.03924913884557151
126,0.03902827173500555
127,0.03895416177175387
128,0.03880662186608963
129,0.03847829142974326
130,0.038221908399448674
131,0.03811953496722398
132,0.03810703585590768
133,0.038107859006825666
134,0.03813093629270409
135,0.038192637971591135
136,0.0382651735563671
137,0.038310452314755966
138,0.03835147446531676
139,0.038463086732954614
140,0.03869762180893861
141,0.03896033951146627
142,0.03923887899586023
143,0.03952321497406012
144,0.039880721237239736
145,0.040440239043890124
146,0.040734162622608594
147,0.04079344913502855
148,0.040818319319798034
149,0.04082483240470666
150,0.04083683518837338
151,0.04096043586001703
152,0.041196234257557904
153,0.04132147278474246
154,0.041298360242698284
155,0.04120364031523356
156,0.0410281018067637
157,0.040792037170138636
158,0.040544020858723134
159,0.040345833020547284
160,0.04014888176174705
161,0.03989439896858496
162,0.03959541192960896
163,0.03938882448567987
164,0.03927995125983071
165,0.03926438140688065
166,0.0393708473791659
167,0.03954262215187774
168,0.039740527418955784
169,0.039887992301054435
170,0.03985938988097145
171,0.039735949726542236
172,0.039665517614720036
173,0.03962283518915778
174,0.03956622651361307
175,0.03955246559433292
176,0.039588817592868655
177,0.03964510769693906
178,0.03967177082200787
179,0.03966042221613442
180,0.03963294264360175
181,0.03961418219185877
182,0.03961304842610144
183,0.03962264540744343
184,0.039631539661709916
185,0.039633329232943895
186,0.0396267233075317
187,0.03962291530041839
188,0.03962496536490065
189,0.03962691588454657
190,0.039626225752326966
191,0.03962512821032725
192,0.03962535267954125
193,0.03962573931340923
194,0.0396254341252184
195,0.03962548440950323
196,0.03962553021605785
197,0.03962548649509557
198,0.039625500846480616
199,0.039625495842399945
200,0.0396254957448771
