,X_O2
0,0.04499999986911441
1,0.044999998965377576
2,0.04499999508217496
3,0.044999985294826836
4,0.04499996367094495
5,0.04499992286271401
6,0.044999875038348194
7,0.04499981498264232
8,0.0449997561066207
9,0.04499966952039206
10,0.04499957414050727
11,0.044999461971278215
12,0.0449993126459005
13,0.044999104993024605
14,0.044998859551710214
15,0.0449985017682931
16,0.04499795680122317
17,0.0449969100389609
18,0.04499589190359764
19,0.0449948704599584
20,0.04499305212478271
21,0.04499166318181756
22,0.044990854180242436
23,0.04498976304978677
24,0.04498800717884193
25,0.04498463910513503
26,0.0449802249970927
27,0.04497587068113237
28,0.04497043179514429
29,0.044966064712911015
30,0.044962143542285726
31,0.04495523300067162
32,0.04494940377532253
33,0.04494688462543134
34,0.04494331641984837
35,0.0449388903997234
36,0.04493463920307405
37,0.044924796373939764
38,0.044916405731020716
39,0.04491296681075981
40,0.04491007065658085
41,0.04490649366006506
42,0.0449031107538545
43,0.044895324364652586
44,0.0448861571056767
45,0.044878749133834335
46,0.04487312099133109
47,0.0448704956375674
48,0.04486697197608189
49,0.04486111429927239
50,0.04485645707521619
51,0.044853328002777415
52,0.04485171798754223
53,0.044850942755486435
54,0.04485067622104952
55,0.044850297157547465
56,0.04485015077510982
57,0.044850093085503695
58,0.04485007929904269
59,0.04485007631151229
60,0.04485007605053482
