,X_O2
0,0.044999999759733636
1,0.04499999853641656
2,0.04499999608626062
3,0.044999991902907766
4,0.044999983943266944
5,0.044999971629813014
6,0.04499995929261588
7,0.04499993815959175
8,0.04499989279265408
9,0.044999801567147765
10,0.044999563116922436
11,0.044999227376528284
12,0.044998690199713184
13,0.044997876499016834
14,0.04499700538728089
15,0.04499608218155832
16,0.04499469856992419
17,0.04499313116993452
18,0.04499149517446101
19,0.04498891223694959
20,0.044986227043623116
21,0.04498274829419522
22,0.044978425874584095
23,0.044973971010722924
24,0.04496845530530248
25,0.04496052360290556
26,0.044952367996346006
27,0.044944022602338735
28,0.04493651729372748
29,0.04492668374141095
30,0.04490934228246729
31,0.044891575140558033
32,0.04486790862331039
33,0.044843311169815735
34,0.04483063994933952
35,0.04481101611164071
36,0.04476148779393775
37,0.04469833476924216
38,0.0446327351923567
39,0.044573674870070835
40,0.044509843357558934
41,0.04439379510391917
42,0.0441760025362679
43,0.043933073072941184
44,0.0437588633470355
45,0.043651838503297694
46,0.04346786227741658
47,0.04315260192105549
48,0.04264677784724249
49,0.04206185299037665
50,0.04141186701467741
51,0.0402803486836669
52,0.03891686024119577
53,0.03798230961470885
54,0.03742443593901759
55,0.03689978174672099
56,0.036531555709578487
57,0.03618787818272829
58,0.035931156483684334
59,0.03557219305294286
60,0.03486123967182645
61,0.03410796816473724
62,0.033309281711980845
63,0.03246224601952908
64,0.03156440939735323
65,0.03070377048543348
66,0.030017189182794942
67,0.029418770034309805
68,0.028918786314206888
69,0.02850091825642955
70,0.02798661597127231
71,0.026875808327215003
72,0.02593964009673087
73,0.02567548514465193
74,0.02564367896803386
75,0.025626568409472274
76,0.025596470558190948
77,0.02532169809009118
78,0.024758617979341542
79,0.024097816744976824
80,0.02344011586296041
81,0.02278894372672865
82,0.02214775187348933
83,0.021519987151385717
84,0.02090906797808733
85,0.02058669101489861
86,0.0203171608318131
87,0.01969120392066284
88,0.01899647778602641
89,0.018741436785566862
90,0.018708467117354768
91,0.018687830074137667
92,0.01865287078642632
93,0.018454664778128956
94,0.018078505327954075
95,0.017467978093559426
96,0.016919148146178085
97,0.016719292135191063
98,0.01649974941376126
99,0.0160663701536383
100,0.01564725389592175
101,0.015286710440630463
102,0.015047487572699728
103,0.01484397264165766
104,0.014665571555019297
105,0.014510526647915243
106,0.014377207976780897
107,0.014290475719146328
108,0.01424297827369044
109,0.014158893031266712
110,0.014061028524073056
111,0.013977260690428235
112,0.013938417382004329
113,0.013939227727538531
114,0.013974955514634508
115,0.014041296995746822
116,0.014134313371735019
117,0.01425039193125383
118,0.014386227529384881
119,0.014538815419818009
120,0.014651806024135034
121,0.014755494761097637
122,0.014839814528597828
123,0.014926356111973762
124,0.015080035950492104
125,0.015314963043053966
126,0.015557980009717066
127,0.015767016134765964
128,0.01593884759209117
129,0.016112086281214952
130,0.016286263483554192
131,0.016460966737177486
132,0.016635832887323104
133,0.01679316286093583
134,0.01690969601708989
135,0.017025967193900243
136,0.017217289771029022
137,0.017623520121700962
138,0.01808326974874157
139,0.018406916264859227
140,0.018671941264049426
141,0.018875887274706696
142,0.019207897538354616
143,0.019684966472893084
144,0.0201356668940597
145,0.020465601795807618
146,0.02074025522321435
147,0.02100151420470141
148,0.021472238016513844
149,0.021992953166903997
150,0.022425844594447124
151,0.022770046714779543
152,0.022998904940660626
153,0.02317676223575005
154,0.023284637590437786
155,0.02327216613426626
156,0.023234306586720262
157,0.023197674361529447
158,0.023156664540450414
159,0.02302548977335777
160,0.022698636827694005
161,0.02238557862621839
162,0.02223297881782718
163,0.022131613298780998
164,0.02200911132604144
165,0.021704841489946912
166,0.021255867740113392
167,0.02103909049502549
168,0.020985123603693603
169,0.02090488320950452
170,0.02066074962254101
171,0.02032346527549229
172,0.020134786061947026
173,0.0200979091127455
174,0.0201524916150692
175,0.0202675036256252
176,0.020400966787326173
177,0.020452111045427438
178,0.02047528987832616
179,0.02048955261651189
180,0.020495529449276427
181,0.02052523538816386
182,0.02068200837031521
183,0.020915397018781045
184,0.021045994831696075
185,0.02115431940345301
186,0.02125873023009029
187,0.021441513825631503
188,0.02172466813378998
189,0.021881850884445383
190,0.02190328341316136
191,0.021907887484280825
192,0.02191036880863844
193,0.021919833997231405
194,0.02191733689430653
195,0.02182857059368797
196,0.021697004117876645
197,0.02161705605682017
198,0.02152409880778349
199,0.021341201472733492
200,0.021192718041007492
201,0.021101742098577847
202,0.021076869576732875
203,0.021076875895838242
204,0.021106082056735583
205,0.02118617712151568
206,0.021271463719459347
207,0.02130245741351849
208,0.021323986563328703
209,0.021366189768894785
210,0.02145939222460525
211,0.021515560650227555
212,0.021496775541885144
213,0.021430331206171157
214,0.0213567674806906
215,0.021309739325877063
216,0.021302703762645963
217,0.021327987385042317
218,0.02136600025124467
219,0.02139714352922896
220,0.02141009578470849
221,0.021401332160953933
222,0.021373657682798045
223,0.021356527717344656
224,0.021360639118896504
225,0.02137456222354768
226,0.021382805258918374
227,0.021380491424918973
228,0.02137351398112118
229,0.021369540834038223
230,0.02137083278974189
231,0.021374327737039955
232,0.02137623345583534
233,0.021374721548866025
234,0.0213728679027293
235,0.021373659685812462
236,0.021374553419418824
237,0.021374133008268462
238,0.021373702543714176
239,0.021374020853881587
240,0.021374047705676445
241,0.021373923007469427
242,0.021374021493122185
243,0.02137397956049036
244,0.02137398795770641
245,0.021373984164636664
246,0.021373989136024018
247,0.021373986506504274
248,0.02137398680038833
249,0.02137398698431093
