,X_O2
0,0.06809999973390769
1,0.06809999797892245
2,0.06809999064181008
3,0.068099971373508
4,0.06809992981193058
5,0.06809985613576111
6,0.06809976470956361
7,0.06809964184912046
8,0.0680994896827287
9,0.0680993297475172
10,0.06809907760348692
11,0.06809881706443552
12,0.06809850602327792
13,0.06809808342582269
14,0.06809750371649052
15,0.06809685101489057
16,0.06809594108551377
17,0.06809474941064883
18,0.06809284633242613
19,0.0680901569275017
20,0.06808739594141394
21,0.06808456999632287
22,0.06808235285969005
23,0.0680805471295215
24,0.06807793578118353
25,0.06807395670177656
26,0.0680696385047917
27,0.06806652710026803
28,0.06806055648788786
29,0.06804684202400793
30,0.06803812622995517
31,0.06803000037610367
32,0.0680252071375062
33,0.06802280012904842
34,0.06801917384439486
35,0.06800863694434127
36,0.06799749196430534
37,0.06798926040086102
38,0.06798096125989822
39,0.06796622213697454
40,0.06793273271214549
41,0.06790270293813866
42,0.06789181906465971
43,0.06788729687401768
44,0.06788383150291487
45,0.06787588371815924
46,0.06784298984984591
47,0.06780485217866311
48,0.06778514629923417
49,0.06776459038059213
50,0.0677482953624701
51,0.06770921644702696
52,0.06763988459008144
53,0.06756700405539319
54,0.06752379957014898
55,0.06750559898294789
56,0.06749365445892003
57,0.06743475598317603
58,0.06733814310494694
59,0.06724044843188022
60,0.06714937757817184
61,0.06706990665668851
62,0.06699087978781525
63,0.06685677531595688
64,0.06674742489623897
65,0.06669653556480921
66,0.06666093836412729
67,0.06662765125366585
68,0.06660593039866014
69,0.06657385206729723
70,0.0664964545962619
71,0.0664394402167225
72,0.0664034718656938
73,0.06637255524832729
74,0.06633408946958436
75,0.06628488452123173
76,0.06625304299574436
77,0.06624457362048929
78,0.06624052640310764
79,0.06623691269388395
80,0.06622755393069278
81,0.0662137261214953
82,0.06620450760743833
83,0.06620055567253601
84,0.06619849159715167
85,0.06619790877368986
86,0.06619773860115205
87,0.06619770791514074
