E0		1.07821
E1		1.0447341300213124
E2		0.9608518125162973
E3		0.8439517000036161
E4		0.7045381425052581
E5		0.5499880300162956
E6		0.3854964349917238
E7		0.21474866499792844
E8		0.04040971251241521
E9		-0.13547665499858264
E10		-0.3112814474983723
E11		1.0386856574957064
E12		0.8942257450033835
E13		0.6084961300062601
E14		0.1420628300075193
E15		-0.5441504624912725
E16		-1.4848137499851206
E17		-2.6978139199848656
E18		-4.185510372507379
E19		-5.935330517502221
E20		-7.909471872500559
