E0		-2.02
E1		-2.0316169074914296
E2		-2.068575402486293
E3		-2.1369735300031505
E4		-2.2438970199951496
E5		-2.397039022519199
E6		-2.604664339990013
E7		-2.875366585018942
E8		-3.2180135875104026
E9		-3.6417204125007356
E10		-4.155164757496781
E11		-2.0294081075048536
E12		-2.0560774850200585
E13		-2.09614210501778
E14		-2.1475625925031676
E15		-2.2082707075012746
E16		-2.2765709450011156
E17		-2.3510539399975454
E18		-2.4305475225095035
E19		-2.5140753025007894
E20		-2.600812117512366
