 Hessian
                1             2             3             4             5 
      1  0.540316D+00
      2  0.166745D+00  0.538800D+00
      3  0.314046D+00 -0.146355D+00  0.539022D+00
      4 -0.536510D-01  0.185936D-01 -0.308645D-01  0.473084D-01
      5  0.216206D-01 -0.207837D+00  0.146926D+00 -0.208098D-01  0.213952D+00
      6 -0.321982D-01  0.143545D+00 -0.174306D+00  0.389838D-01 -0.160349D+00
      7 -0.157727D+00 -0.145245D+00 -0.160088D-01  0.518710D-02  0.404590D-02
      8 -0.148514D+00 -0.232840D+00 -0.406813D-02 -0.127578D-01 -0.111693D-01
      9 -0.132957D-01 -0.883727D-03 -0.482767D-01  0.116342D-01  0.145128D-01
     10 -0.309363D+00 -0.313119D-01 -0.237497D+00  0.298039D-02 -0.681018D-03
     11 -0.233685D-01 -0.100806D+00  0.135483D-01  0.178631D-01  0.526347D-02
     12 -0.245681D+00  0.568942D-02 -0.308381D+00 -0.161556D-01 -0.311727D-03
     13  0.140871D-02  0.173665D-01 -0.185682D-01  0.188714D-02 -0.366817D-02
     14 -0.254647D-02  0.505026D-02 -0.140244D-02 -0.381446D-02  0.332224D-02
     15 -0.310398D-02  0.197181D-01 -0.110565D-01 -0.708578D-02  0.222277D-02
     16 -0.225604D-01 -0.185629D-01 -0.196990D-01 -0.218739D-02  0.104719D-02
     17 -0.934241D-02  0.138282D-02 -0.637996D-02  0.244976D-02 -0.154497D-02
     18 -0.188269D-01 -0.186755D-01  0.346579D-02  0.315152D-02 -0.205465D-02
     19  0.384961D-02 -0.318551D-02  0.811544D-02 -0.693220D-03  0.939770D-03
     20 -0.367045D-02 -0.930402D-03 -0.616845D-02 -0.121253D-03 -0.188789D-03
     21 -0.200748D-02  0.268358D-03 -0.390548D-02 -0.106707D-03 -0.393782D-04
     22 -0.196758D-03 -0.339410D-02  0.201385D-02  0.678032D-03 -0.142279D-03
     23 -0.296000D-02 -0.301801D-02  0.297422D-04  0.258338D-03 -0.248203D-03
     24  0.850850D-03 -0.955366D-03  0.970785D-03  0.355248D-03  0.317372D-04
     25 -0.152556D-02 -0.120841D-02  0.509674D-03 -0.297903D-03 -0.138065D-02
     26  0.105765D-02  0.220641D-03  0.608391D-03 -0.644963D-03 -0.699165D-03
     27 -0.339298D-03 -0.207302D-02 -0.614511D-03 -0.476399D-03 -0.275898D-03
     28  0.234989D-03 -0.373716D-05  0.944360D-04 -0.361376D-04 -0.282522D-03
     29 -0.184797D-03 -0.522342D-04  0.716774D-04 -0.166106D-03 -0.612115D-03
     30  0.485721D-03 -0.164578D-03  0.766980D-03  0.418640D-04 -0.928927D-04
     31  0.591270D-04  0.582652D-04 -0.238388D-03 -0.228147D-04 -0.146121D-05
     32  0.309698D-03  0.240557D-03  0.340131D-03  0.259554D-03  0.193405D-03
     33 -0.705763D-03  0.337076D-04 -0.559962D-03  0.329150D-03 -0.428431D-03
     34  0.320957D-03 -0.265310D-03  0.782678D-03 -0.113005D-02 -0.617662D-03
     35 -0.656053D-03  0.417465D-04 -0.634958D-03 -0.103348D-02 -0.543044D-03
     36 -0.355360D-03  0.174404D-03  0.554105D-05  0.260123D-03 -0.323741D-03
     37 -0.108892D-02  0.905184D-03 -0.165207D-02  0.614413D-04 -0.199687D-03
     38  0.150034D-02  0.103413D-03  0.274473D-02 -0.161060D-03  0.113497D-03
     39  0.106012D-02 -0.292721D-03  0.233844D-02  0.969770D-04  0.577274D-04
     40 -0.771498D-04 -0.491857D-03 -0.103377D-02 -0.840019D-04  0.129793D-03
     41  0.860654D-05 -0.355475D-03  0.739599D-03  0.846091D-04 -0.172597D-05
     42  0.714603D-04 -0.294340D-04  0.531014D-03 -0.163834D-03  0.124612D-03
                6             7             8             9            10 
      6  0.180508D+00
      7 -0.810100D-03  0.161939D+00
      8 -0.239698D-02  0.160347D+00  0.238136D+00
      9  0.393106D-02  0.209889D-01  0.351692D-02  0.424283D-01
     10 -0.358278D-02 -0.984170D-02  0.105680D-02 -0.167115D-01  0.518546D+00
     11  0.179867D-01 -0.194722D-01  0.307002D-02 -0.184610D-01  0.106198D+00
     12 -0.106649D-01  0.248680D-03  0.218246D-02  0.208515D-02  0.298702D+00
     13 -0.719272D-02 -0.267472D-02  0.249654D-02  0.349820D-02 -0.520887D-01
     14  0.232632D-02  0.269102D-02 -0.855511D-03 -0.253031D-02  0.138601D-01
     15  0.248148D-02  0.335411D-02 -0.272330D-02 -0.235652D-02 -0.215798D-01
     16  0.370871D-02  0.358977D-02 -0.192316D-02 -0.527888D-02 -0.112651D+00
     17 -0.515077D-03 -0.186981D-02  0.293976D-02  0.389123D-02 -0.828901D-01
     18 -0.253821D-02 -0.773102D-02  0.385994D-02  0.205808D-02 -0.193343D-01
     19  0.101715D-02  0.102458D-02 -0.129024D-02 -0.195057D-02 -0.427543D-01
     20  0.392770D-04  0.216387D-03 -0.114179D-03 -0.186089D-03 -0.416238D-03
     21 -0.784769D-04 -0.156373D-03  0.852768D-04  0.207998D-03  0.758588D-02
     22 -0.473205D-03 -0.170493D-02  0.589499D-03  0.455951D-03 -0.679372D-02
     23 -0.326346D-03 -0.132149D-02  0.731393D-03  0.247401D-03  0.899531D-04
