 gradient
      1        6           0.000197327    0.000200175   -0.000398327
      2        1           0.000062299   -0.000077929   -0.000124280
      3        1          -0.000058977    0.000075967    0.000161145
      4        6           0.002201234    0.000736103    0.000833216
      5        1           0.000022720    0.000143999    0.000143776
      6        6          -0.002495820   -0.001575518   -0.002680167
      7        1           0.005657352   -0.004872801   -0.005204407
      8        1           0.002911751   -0.001282823   -0.000374075
      9        6           0.001827556   -0.001043175    0.000125622
     10        1           0.000069436   -0.000188035    0.000326281
     11        1           0.000079533   -0.000048036    0.000035418
     12        1          -0.000075168    0.000072809   -0.000022797
     13        8          -0.010998078    0.007995744    0.007245304
     14        1           0.000598834   -0.000136481   -0.000066708
