 geometry
      1          6           0       -1.835088   -0.703366   -0.445170
      2          1           0       -1.980780    0.089662   -1.170288
      3          1           0       -2.508580   -1.549896   -0.501272
      4          6           0       -0.887412   -0.640025    0.488544
      5          1           0       -0.790793   -1.459962    1.196401
      6          6           0        0.097867    0.466969    0.647432
      7          1           0        1.151598    0.001392    0.423912
      8          1           0        0.191132    0.751506    1.699898
      9          6           0       -0.070745    1.669035   -0.261530
     10          1           0       -1.036225    2.153293   -0.088856
     11          1           0        0.716620    2.400468   -0.079140
     12          1           0       -0.019689    1.377896   -1.312758
     13          8           0        2.192287   -0.753827   -0.278867
     14          1           0        1.576940   -1.238085   -0.853371
