Temperature end point_(K),Mole fraction O2 end point
        800.0000000000000,      0.04498716000000000
        850.0000000000000,      0.04493495000000000
        875.0000000000000,      0.04485010000000000
        900.0000000000000,      0.04465561000000000
        925.0000000000000,      0.04422889000000000
        950.0000000000000,      0.04331379000000000
        975.0000000000000,      0.04116357000000000
        1000.000000000000,      0.02362961000000000
        1025.000000000000,      0.03170207000000000
        1050.000000000000,      0.02589690000000000
        1075.000000000000,      0.02395497000000000
        1100.000000000000,      0.02114200000000000
