,Temp,time,X_O2
21,1050.0,4.740879e-11,0.045
33,1050.0,2.1485680000000002e-08,0.045
45,1050.0,2.263136e-07,0.045
57,1050.0,5.464206e-07,0.045
69,1050.0,8.345169e-07,0.045
81,1050.0,1.6333430000000002e-06,0.045
93,1050.0,2.370466e-06,0.045
105,1050.0,3.401282e-06,0.045
117,1050.0,4.893705e-06,0.04499999
129,1050.0,6.535586e-06,0.04499999
141,1050.0,1.065285e-05,0.04499999
153,1050.0,1.4392029999999999e-05,0.04499998
165,1050.0,1.81312e-05,0.04499998
177,1050.0,2.217719e-05,0.04499997
189,1050.0,3.687608e-05,0.04499996
201,1050.0,5.291292e-05,0.04499994
213,1050.0,6.593732e-05,0.04499992
225,1050.0,0.0001157743,0.04499986
237,1050.0,0.0002636055,0.04499967
249,1050.0,0.0005252218,0.04499932
261,1050.0,0.0009961312,0.04499863
273,1050.0,0.0016057329999999998,0.04499765
285,1050.0,0.002215335,0.0449966
297,1050.0,0.002760784,0.04499562
309,1050.0,0.0032545609999999996,0.0449947
321,1050.0,0.0037483390000000003,0.04499376
333,1050.0,0.004493155,0.0449923
345,1050.0,0.005163221,0.04499096
357,1050.0,0.005775853,0.04498969
369,1050.0,0.007047446999999999,0.04498702
381,1050.0,0.008768751,0.04498318
393,1050.0,0.01025345,0.04497987
405,1050.0,0.0116168,0.0449768
417,1050.0,0.0165493,0.04496498
429,1050.0,0.02577943,0.04494117
441,1050.0,0.03240023,0.04492332
453,1050.0,0.04352622,0.04489175
465,1050.0,0.05957822,0.04484398
477,1050.0,0.0713146,0.04480789
489,1050.0,0.08102384,0.04477709
501,1050.0,0.08955453,0.04474948
513,1050.0,0.09808522,0.0447214
525,1050.0,0.1057628,0.04469574
537,1050.0,0.1134405,0.04466964
549,1050.0,0.1211181,0.04464291
561,1050.0,0.131872,0.04460479
573,1050.0,0.1429498,0.04456552
585,1050.0,0.1530291,0.04452979
597,1050.0,0.1596396,0.04450636
609,1050.0,0.1661809,0.0444819
621,1050.0,0.1727222,0.04445736
633,1050.0,0.1912882,0.0443877
645,1050.0,0.2,0.04435502
657,1050.0,0.2223479,0.04426716
669,1050.0,0.2412369,0.04419192
681,1050.0,0.2582621,0.04412174
693,1050.0,0.2807826,0.0440289
705,1050.0,0.3064233,0.04391365
717,1050.0,0.3320641,0.04379811
729,1050.0,0.3577049,0.04368257
741,1050.0,0.3833457,0.04356703
753,1050.0,0.4,0.04349162
765,1050.0,0.4208565,0.04338603
777,1050.0,0.4357864,0.04331045
789,1050.0,0.4480503,0.04324836
801,1050.0,0.4603142,0.04318628
813,1050.0,0.4725781,0.04312419
825,1050.0,0.484842,0.04306211
837,1050.0,0.4971059,0.04300002
849,1050.0,0.5134695,0.04291505
861,1050.0,0.5282172,0.04283313
873,1050.0,0.5399487,0.04276796
885,1050.0,0.5611773,0.04265003
897,1050.0,0.5846405,0.04251969
909,1050.0,0.6,0.04243288
921,1050.0,0.6237457,0.04228892
933,1050.0,0.6472089,0.04214667
945,1050.0,0.6693313,0.04201255
957,1050.0,0.6904481,0.04188453
969,1050.0,0.708133,0.04176711
981,1050.0,0.7204718,0.04168503
993,1050.0,0.7316941,0.04161037
1005,1050.0,0.7429165,0.04153572
1017,1050.0,0.7541388,0.04146106
1029,1050.0,0.7653612,0.04138641
1041,1050.0,0.7765835,0.04131175
1053,1050.0,0.7878059,0.0412371
1065,1050.0,0.8,0.04115598
1077,1050.0,0.8198163,0.04100983
1089,1050.0,0.8379965,0.04087575
1101,1050.0,0.8561767,0.04074167
1113,1050.0,0.874357,0.04060759
1125,1050.0,0.8925372,0.04047351
1137,1050.0,0.9106308,0.04033696
1149,1050.0,0.926993,0.04020336
1161,1050.0,0.9433552,0.04006976
1173,1050.0,0.9597174,0.03993616
1185,1050.0,0.9760796,0.03980256
1197,1050.0,0.9924418,0.03966895
1209,1050.0,1.0,0.03960724
1221,1050.0,1.0165950000000001,0.03945819
1233,1050.0,1.032958,0.03931121
1245,1050.0,1.04932,0.03916425
1257,1050.0,1.065682,0.03901729
1269,1050.0,1.082044,0.03886686
1281,1050.0,1.098406,0.03870353
1293,1050.0,1.1147690000000001,0.03854019
1305,1050.0,1.1311309999999999,0.03837686
1317,1050.0,1.147493,0.03821353
1329,1050.0,1.1638549999999999,0.03805019
1341,1050.0,1.180217,0.03787904
1353,1050.0,1.19658,0.03770186
1365,1050.0,1.2,0.03766483
1377,1050.0,1.2168379999999999,0.03745437
1389,1050.0,1.2332,0.03724986
1401,1050.0,1.249562,0.03704536
1413,1050.0,1.265924,0.03684085
1425,1050.0,1.282286,0.03663634
1437,1050.0,1.298649,0.03643182
1449,1050.0,1.3150110000000002,0.03622731
1461,1050.0,1.331373,0.0360228
1473,1050.0,1.3477350000000001,0.03581829
1485,1050.0,1.364097,0.03558825
1497,1050.0,1.380459,0.03534552
1509,1050.0,1.396822,0.03510278
1521,1050.0,1.4,0.03505563
1533,1050.0,1.41708,0.03476588
1545,1050.0,1.433442,0.03448831
1557,1050.0,1.449804,0.03421075
1569,1050.0,1.466166,0.03393318
1581,1050.0,1.482528,0.03365561
1593,1050.0,1.498891,0.0333466
1605,1050.0,1.515253,0.03302181
1617,1050.0,1.531615,0.03269702
1629,1050.0,1.547977,0.03237223
1641,1050.0,1.564339,0.03201353
1653,1050.0,1.580702,0.03164799
1665,1050.0,1.597064,0.03128246
1677,1050.0,1.6,0.03121687
1689,1050.0,1.616543,0.03080756
1701,1050.0,1.633684,0.03038346
1713,1050.0,1.8,0.02579643
1725,1050.0,2.0,0.0213442
1737,1050.0,2.2,0.01984453
1749,1050.0,2.4,0.02009269
1761,1050.0,2.6,0.02109104
1773,1050.0,2.8,0.02235504
1785,1050.0,3.0,0.02366003
1797,1050.0,3.2,0.02490074
1809,1050.0,3.4,0.02602605
1821,1050.0,3.6,0.02701007
1833,1050.0,3.8,0.02783914
1845,1050.0,4.0,0.0285056
1857,1050.0,4.2,0.0290045
1869,1050.0,4.4,0.02933149
1881,1050.0,4.6,0.02948126
1893,1050.0,4.8,0.02944659
1905,1050.0,5.0,0.02921797
1917,1050.0,5.2,0.02878518
1929,1050.0,5.4,0.02814291
1941,1050.0,5.6,0.02730434
1953,1050.0,5.8,0.02632423
1965,1050.0,6.0,0.02531974
1977,1050.0,6.181816,0.02453441
1989,1050.0,6.2,0.02445587
2001,1050.0,6.4,0.02387863
2013,1050.0,6.6,0.02364875
2025,1050.0,6.7640720000000005,0.02372113
2037,1050.0,6.8,0.02373698
2049,1050.0,6.904348,0.02389759
2061,1050.0,7.0,0.02406506
