,Temp,time,X_O2
22,1075.0,4.740879e-11,0.045
34,1075.0,2.1485680000000002e-08,0.045
46,1075.0,2.263136e-07,0.045
58,1075.0,5.464206e-07,0.045
70,1075.0,8.345169e-07,0.045
82,1075.0,1.6333430000000002e-06,0.045
94,1075.0,2.370466e-06,0.045
106,1075.0,3.401282e-06,0.04499999
118,1075.0,4.893705e-06,0.04499999
130,1075.0,6.535586e-06,0.04499999
142,1075.0,1.065285e-05,0.04499998
154,1075.0,1.4392029999999999e-05,0.04499998
166,1075.0,1.81312e-05,0.04499997
178,1075.0,2.217719e-05,0.04499995
190,1075.0,3.687608e-05,0.04499993
202,1075.0,5.291292e-05,0.0449999
214,1075.0,6.593732e-05,0.04499988
226,1075.0,0.0001157743,0.04499977
238,1075.0,0.0002636055,0.04499947
250,1075.0,0.0005252218,0.04499891
262,1075.0,0.0009961312,0.0449978
274,1075.0,0.0016057329999999998,0.0449962
286,1075.0,0.002215335,0.04499447
298,1075.0,0.002760784,0.04499285
310,1075.0,0.0032545609999999996,0.04499132
322,1075.0,0.0037483390000000003,0.04498975
334,1075.0,0.004493155,0.04498732
346,1075.0,0.005163221,0.04498508
358,1075.0,0.005775853,0.04498298
370,1075.0,0.007047446999999999,0.04497846
382,1075.0,0.008768751,0.04497217
394,1075.0,0.01025345,0.04496643
406,1075.0,0.0116168,0.04496116
418,1075.0,0.0165493,0.04494147
430,1075.0,0.02577943,0.04490179
442,1075.0,0.03240023,0.04487184
454,1075.0,0.04352622,0.04481966
466,1075.0,0.05957822,0.04474049
478,1075.0,0.0713146,0.04467993
490,1075.0,0.08102384,0.04462831
502,1075.0,0.08955453,0.04458186
514,1075.0,0.09808522,0.04453425
526,1075.0,0.1057628,0.04449067
538,1075.0,0.1134405,0.04444621
550,1075.0,0.1211181,0.04440114
562,1075.0,0.131872,0.04433621
574,1075.0,0.1429498,0.0442664
586,1075.0,0.1530291,0.04420288
598,1075.0,0.1596396,0.04416122
610,1075.0,0.1661809,0.04411763
622,1075.0,0.1727222,0.04407368
634,1075.0,0.1912882,0.04394758
646,1075.0,0.2,0.0438864
658,1075.0,0.2223479,0.04372287
670,1075.0,0.2412369,0.04357628
682,1075.0,0.2582621,0.04343521
694,1075.0,0.2807826,0.04324861
706,1075.0,0.3064233,0.04303615
718,1075.0,0.3320641,0.04279018
730,1075.0,0.3577049,0.04254167
742,1075.0,0.3833457,0.04229315
754,1075.0,0.4,0.04213173
766,1075.0,0.4208565,0.04189437
778,1075.0,0.4357864,0.04172446
790,1075.0,0.4480503,0.04158489
802,1075.0,0.4603142,0.04144531
814,1075.0,0.4725781,0.04130574
826,1075.0,0.484842,0.04116617
838,1075.0,0.4971059,0.04101272
850,1075.0,0.5134695,0.04079666
862,1075.0,0.5282172,0.04060194
874,1075.0,0.5399487,0.04044704
886,1075.0,0.5611773,0.04016674
898,1075.0,0.5846405,0.03984078
910,1075.0,0.6,0.03961757
922,1075.0,0.6237457,0.03924548
934,1075.0,0.6472089,0.03887782
946,1075.0,0.6693313,0.0385075
958,1075.0,0.6904481,0.03814145
970,1075.0,0.708133,0.03783147
982,1075.0,0.7204718,0.03759628
994,1075.0,0.7316941,0.03738236
1006,1075.0,0.7429165,0.03716845
1018,1075.0,0.7541388,0.03694535
1030,1075.0,0.7653612,0.03671188
1042,1075.0,0.7765835,0.03647842
1054,1075.0,0.7878059,0.03624408
1066,1075.0,0.8,0.03597535
1078,1075.0,0.8198163,0.03549095
1090,1075.0,0.8379965,0.03504654
1102,1075.0,0.8561767,0.03460213
1114,1075.0,0.874357,0.03414729
1126,1075.0,0.8925372,0.03360884
1138,1075.0,0.9106308,0.03307296
1150,1075.0,0.926993,0.03258836
1162,1075.0,0.9433552,0.03210376
1174,1075.0,0.9597174,0.03157734
1186,1075.0,0.9760796,0.03101132
1198,1075.0,0.9924418,0.0304453
1210,1075.0,1.0,0.03017781
1222,1075.0,1.0165950000000001,0.02955021
1234,1075.0,1.032958,0.02892614
